Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Loadcase,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,"12 Wind 90,Cpi -0.3,+Cpe",5.9,-35.9,-9.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-44.4,-42.2,-9.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-48.6,-47.2,-13.5,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-98.9,-53.5,-13.5,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-13.7,3.5,6.7,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-13.7,3.5,6.7,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-49.3,-3.9,3.8,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-49.3,-3.9,3.8,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",3.5,19.5,-1.2,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-10.5,6.5,-1.2,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-32.6,12.0,-4.2,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-46.6,-1.0,-4.2,0.0,0.0,0.0
A7,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,43.9,10.5,0.0,0.0,0.0,0.0
,,,,3 Dead,24.6,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,24.6,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,59.0,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,69.8,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-15.0,12.2,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-15.0,12.2,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-67.2,9.5,0.0,0.0,0.0,0.0
