Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,-0.6,-14.9,-12.4,0.0,0.0,0.0
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,-1.6,-8.4,-19.7,0.0,0.0,0.0
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,-1.6,-8.4,-19.7,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,-1.6,11.1,16.4,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,-1.6,11.1,16.4,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,-2.6,17.7,9.1,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,-2.6,17.7,9.1,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,0.9,2.6,-7.3,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,0.7,2.6,-7.3,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,-0.1,9.2,-14.6,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,-0.4,9.2,-14.6,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,-1.5,7.7,-3.4,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,-1.5,7.7,-3.4,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,-2.7,15.3,-11.9,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,-2.7,15.3,-11.9,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,0.9,-17.4,-14.5,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,0.9,-17.4,-14.5,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,-0.3,-9.8,-23.0,0.0,0.0,0.0
,,,,29 (Final) Cb5.8-D+1.4W,-0.3,-9.8,-23.0,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,-0.3,13.0,19.1,0.0,0.0,0.0
,,,,31 (Final) Cb5.10-D+1.4W,-0.3,13.0,19.1,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,-1.5,20.6,10.6,0.0,0.0,0.0
,,,,33 (Final) Cb5.12-D+1.4W,-1.5,20.6,10.6,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,2.7,3.1,-8.5,0.0,0.0,0.0
,,,,35 (Final) Cb5.14-D+1.4W,2.4,3.1,-8.5,0.0,0.0,0.0
,,,,36 (Final) Cb5.15-D+1.4W,1.5,10.7,-17.0,0.0,0.0,0.0
,,,,37 (Final) Cb5.16-D+1.4W,1.2,10.7,-17.0,0.0,0.0,0.0
SUP 2/E,0.0000,SC 2/E (UC 152x152x30),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,110.1,0.0,0.2,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,110.1,0.2,-0.2,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,110.1,-0.2,0.6,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,110.1,-0.4,0.2,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,110.1,0.4,0.2,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,86.1,16.4,-7.6,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,86.1,16.4,-7.6,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,85.0,30.0,-4.1,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,85.0,30.0,-4.1,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,85.7,-32.8,5.8,0.0,0.0,0.0
