Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,28 (Final) Cb5.7-D+1.4W,54.6,-10.7,23.0,0.0,0.0,0.0
,,,,29 (Final) Cb5.8-D+1.4W,56.0,-10.8,23.0,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,63.2,9.4,3.4,0.0,0.0,0.0
,,,,31 (Final) Cb5.10-D+1.4W,64.0,9.4,3.4,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,52.6,18.4,11.9,0.0,0.0,0.0
,,,,33 (Final) Cb5.12-D+1.4W,53.4,18.4,11.9,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,70.0,3.9,8.5,0.0,0.0,0.0
,,,,35 (Final) Cb5.14-D+1.4W,69.2,3.9,8.5,0.0,0.0,0.0
,,,,36 (Final) Cb5.15-D+1.4W,59.4,12.9,17.0,0.0,0.0,0.0
,,,,37 (Final) Cb5.16-D+1.4W,58.6,12.9,17.0,0.0,0.0,0.0
SUP 2/C,0.0000,SC 2/C (UC 254x254x89),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,115.2,-1.7,-0.9,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,115.3,-1.5,-1.2,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,115.2,-1.9,-0.6,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,115.1,-2.0,-0.9,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,115.4,-1.4,-0.9,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,82.5,5.1,-2.0,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,81.7,5.1,-2.0,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,77.6,11.8,-5.3,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,76.8,11.9,-5.3,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,72.6,-14.2,-6.4,0.0,0.0,0.0
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,74.0,-14.2,-6.4,0.0,0.0,0.0
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,67.8,-7.5,-9.7,0.0,0.0,0.0
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,69.2,-7.5,-9.7,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,78.2,8.1,6.7,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,79.0,8.0,6.7,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,73.3,14.8,3.4,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,74.1,14.8,3.4,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,84.9,1.8,-4.0,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,83.9,1.8,-4.0,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,80.1,8.6,-7.2,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,79.0,8.6,-7.2,0.0,0.0,0.0
,,,,22 (Final) Cb5.1-D+1.4W,35.2,6.9,-1.8,0.0,0.0,0.0
,,,,23 (Final) Cb5.2-D+1.4W,34.2,6.9,-1.8,0.0,0.0,0.0
,,,,24 (Final) Cb5.3-D+1.4W,29.5,14.8,-5.6,0.0,0.0,0.0
,,,,25 (Final) Cb5.4-D+1.4W,28.5,14.8,-5.6,0.0,0.0,0.0
,,,,26 (Final) Cb5.5-D+1.4W,23.7,-15.6,-6.9,0.0,0.0,0.0
,,,,27 (Final) Cb5.6-D+1.4W,25.3,-15.7,-6.9,0.0,0.0,0.0
,,,,28 (Final) Cb5.7-D+1.4W,18.0,-7.7,-10.7,0.0,0.0,0.0
