Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,79 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,406.4,-115.0,0.6,0.0,0.0,0.0
,,,,80 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,406.4,-115.0,0.6,0.0,0.0,0.0
,,,,81 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,506.7,5.3,1.6,0.0,0.0,0.0
,,,,82 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,506.7,5.3,1.6,0.0,0.0,0.0
,,,,83 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,506.7,5.4,1.6,0.0,0.0,0.0
,,,,84 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,506.7,5.4,1.6,0.0,0.0,0.0
,,,,85 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,568.3,75.5,0.6,0.0,0.0,0.0
,,,,86 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,568.3,75.5,0.6,0.0,0.0,0.0
,,,,87 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,568.4,75.6,0.6,0.0,0.0,0.0
,,,,88 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,568.4,75.6,0.6,0.0,0.0,0.0
,,,,89 (Final) Cb4.1-1.2D+1.2I+1.2S+1.2W,526.3,5.5,0.0,0.0,0.0,0.0
,,,,90 (Final) Cb4.2-1.2D+1.2I+1.2S+1.2W,526.3,5.5,0.0,0.0,0.0,0.0
,,,,91 (Final) Cb4.3-1.2D+1.2I+1.2S+1.2W,526.4,5.6,0.0,0.0,0.0,0.0
,,,,92 (Final) Cb4.4-1.2D+1.2I+1.2S+1.2W,526.4,5.6,0.0,0.0,0.0,0.0
,,,,93 (Final) Cb4.5-1.2D+1.2I+1.2S+1.2W,422.6,-114.9,0.7,0.0,0.0,0.0
,,,,94 (Final) Cb4.6-1.2D+1.2I+1.2S+1.2W,422.6,-114.9,0.7,0.0,0.0,0.0
,,,,95 (Final) Cb4.7-1.2D+1.2I+1.2S+1.2W,422.7,-114.8,0.7,0.0,0.0,0.0
,,,,96 (Final) Cb4.8-1.2D+1.2I+1.2S+1.2W,422.7,-114.8,0.7,0.0,0.0,0.0
,,,,97 (Final) Cb4.9-1.2D+1.2I+1.2S+1.2W,522.9,5.5,1.6,0.0,0.0,0.0
,,,,98 (Final) Cb4.10-1.2D+1.2I+1.2S+1.2W,522.9,5.5,1.6,0.0,0.0,0.0
,,,,99 (Final) Cb4.11-1.2D+1.2I+1.2S+1.2W,522.9,5.7,1.6,0.0,0.0,0.0
,,,,100 (Final) Cb4.12-1.2D+1.2I+1.2S+1.2W,522.9,5.7,1.6,0.0,0.0,0.0
,,,,101 (Final) Cb4.13-1.2D+1.2I+1.2S+1.2W,584.5,75.8,0.7,0.0,0.0,0.0
,,,,102 (Final) Cb4.14-1.2D+1.2I+1.2S+1.2W,584.5,75.8,0.7,0.0,0.0,0.0
,,,,103 (Final) Cb4.15-1.2D+1.2I+1.2S+1.2W,584.6,75.9,0.7,0.0,0.0,0.0
,,,,104 (Final) Cb4.16-1.2D+1.2I+1.2S+1.2W,584.6,75.9,0.7,0.0,0.0,0.0
,,,,105 (Final) Cb5.1-D+1.4W,266.3,2.6,-0.6,0.0,0.0,0.0
,,,,106 (Final) Cb5.2-D+1.4W,266.3,2.6,-0.6,0.0,0.0,0.0
,,,,107 (Final) Cb5.3-D+1.4W,266.4,2.7,-0.6,0.0,0.0,0.0
,,,,108 (Final) Cb5.4-D+1.4W,266.4,2.7,-0.6,0.0,0.0,0.0
,,,,109 (Final) Cb5.5-D+1.4W,136.7,-147.9,0.3,0.0,0.0,0.0
,,,,110 (Final) Cb5.6-D+1.4W,136.7,-147.9,0.3,0.0,0.0,0.0
,,,,111 (Final) Cb5.7-D+1.4W,136.7,-147.7,0.2,0.0,0.0,0.0
,,,,112 (Final) Cb5.8-D+1.4W,136.7,-147.7,0.2,0.0,0.0,0.0
,,,,113 (Final) Cb5.9-D+1.4W,262.0,2.6,1.4,0.0,0.0,0.0
,,,,114 (Final) Cb5.10-D+1.4W,262.0,2.6,1.4,0.0,0.0,0.0
,,,,115 (Final) Cb5.11-D+1.4W,262.1,2.8,1.4,0.0,0.0,0.0
,,,,116 (Final) Cb5.12-D+1.4W,262.1,2.8,1.4,0.0,0.0,0.0
,,,,117 (Final) Cb5.13-D+1.4W,339.1,90.4,0.2,0.0,0.0,0.0
,,,,118 (Final) Cb5.14-D+1.4W,339.1,90.4,0.2,0.0,0.0,0.0
,,,,119 (Final) Cb5.15-D+1.4W,339.1,90.6,0.2,0.0,0.0,0.0
,,,,120 (Final) Cb5.16-D+1.4W,339.1,90.6,0.2,0.0,0.0,0.0
B,180.0000,Span 2 Rh Column (UC 203x203x86),90.0000,59 Snow Drift 0,259.7,9.0,0.0,0.0,0.0,0.0
,,,,60 Snow Drift 90,244.0,9.0,-0.1,0.0,0.0,0.0
,,,,61 Snow Drift 180,243.5,9.0,0.0,0.0,0.0,0.0
,,,,62 Snow Drift 270,256.6,8.9,0.0,0.0,0.0,0.0
,,,,63 (Final) Cb1-1.4D+1.6I+1.6RI,243.6,9.0,0.0,0.0,0.0,0.0
,,,,64 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,243.6,9.0,0.2,0.0,0.0,0.0
,,,,65 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,243.6,9.0,-0.3,0.0,0.0,0.0
,,,,66 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,244.5,9.9,-0.1,0.0,0.0,0.0
,,,,67 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,242.6,8.1,0.0,0.0,0.0,0.0
,,,,68 (Final) Cb2.1-1.4D+1.6I+1.6S,251.7,9.0,0.0,0.0,0.0,0.0
