Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Service Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,32 (Final) Cb5.11-D+1.4W,168.2,30.8,0.0,0.0,0.0,0.0
,,,,33 (Final) Cb5.12-D+1.4W,168.2,30.8,0.0,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,129.3,7.4,0.0,0.0,0.0,0.0
,,,,35 (Final) Cb5.14-D+1.4W,129.3,7.4,0.0,0.0,0.0,0.0
,,,,36 (Final) Cb5.15-D+1.4W,129.3,9.6,0.0,0.0,0.0,0.0
,,,,37 (Final) Cb5.16-D+1.4W,129.3,9.6,0.0,0.0,0.0,0.0
SUP 7/D,90.0019,Span 1 Lh Column (UKB 457x152x82),-90.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,173.7,11.8,0.0,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,174.7,12.5,0.0,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,172.6,11.1,0.0,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,172.9,11.5,0.2,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,174.4,12.0,-0.1,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,188.2,24.4,0.1,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,188.2,24.4,0.1,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,188.2,26.7,0.1,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,188.2,26.7,0.1,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,164.2,13.4,0.0,0.0,0.0,0.0
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,164.2,13.4,0.0,0.0,0.0,0.0
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,164.2,16.5,0.0,0.0,0.0,0.0
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,164.2,16.5,0.0,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,134.3,-12.6,0.0,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,134.3,-12.6,0.0,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,134.3,-9.7,0.0,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,134.3,-9.7,0.0,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,164.2,12.1,0.0,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,164.2,12.1,0.0,0.0,0.0,0.0
