Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,101 (Final) Cb4.13-1.2D+1.2I+1.2S+1.2W,797.5,112.9,0.9,0.0,0.0,0.0
,,,,102 (Final) Cb4.14-1.2D+1.2I+1.2S+1.2W,797.5,112.9,0.9,0.0,0.0,0.0
,,,,103 (Final) Cb4.15-1.2D+1.2I+1.2S+1.2W,797.6,113.0,0.9,0.0,0.0,0.0
,,,,104 (Final) Cb4.16-1.2D+1.2I+1.2S+1.2W,797.6,113.0,0.9,0.0,0.0,0.0
,,,,105 (Final) Cb5.1-D+1.4W,267.1,2.6,-0.9,0.0,0.0,0.0
,,,,106 (Final) Cb5.2-D+1.4W,267.1,2.6,-0.9,0.0,0.0,0.0
,,,,107 (Final) Cb5.3-D+1.4W,267.2,2.8,-0.9,0.0,0.0,0.0
,,,,108 (Final) Cb5.4-D+1.4W,267.2,2.8,-0.9,0.0,0.0,0.0
,,,,109 (Final) Cb5.5-D+1.4W,85.6,-208.1,0.3,0.0,0.0,0.0
,,,,110 (Final) Cb5.6-D+1.4W,85.6,-208.1,0.3,0.0,0.0,0.0
,,,,111 (Final) Cb5.7-D+1.4W,85.7,-207.8,0.2,0.0,0.0,0.0
,,,,112 (Final) Cb5.8-D+1.4W,85.7,-207.8,0.2,0.0,0.0,0.0
,,,,113 (Final) Cb5.9-D+1.4W,261.0,2.7,1.9,0.0,0.0,0.0
,,,,114 (Final) Cb5.10-D+1.4W,261.0,2.7,1.9,0.0,0.0,0.0
,,,,115 (Final) Cb5.11-D+1.4W,261.1,3.0,1.8,0.0,0.0,0.0
,,,,116 (Final) Cb5.12-D+1.4W,261.1,3.0,1.8,0.0,0.0,0.0
,,,,117 (Final) Cb5.13-D+1.4W,369.0,125.6,0.2,0.0,0.0,0.0
,,,,118 (Final) Cb5.14-D+1.4W,369.0,125.6,0.2,0.0,0.0,0.0
,,,,119 (Final) Cb5.15-D+1.4W,369.1,125.8,0.2,0.0,0.0,0.0
,,,,120 (Final) Cb5.16-D+1.4W,369.1,125.8,0.2,0.0,0.0,0.0
B,180.0000,Span 2 Rh Column (UC 203x203x86),90.0000,59 Snow Drift 0,382.5,13.3,-0.1,0.0,0.0,0.0
,,,,60 Snow Drift 90,366.0,13.4,-0.1,0.0,0.0,0.0
,,,,61 Snow Drift 180,365.5,13.3,-0.1,0.0,0.0,0.0
,,,,62 Snow Drift 270,379.2,13.3,-0.1,0.0,0.0,0.0
,,,,63 (Final) Cb1-1.4D+1.6I+1.6RI,365.6,13.3,-0.1,0.0,0.0,0.0
,,,,64 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,365.6,13.3,0.3,0.0,0.0,0.0
,,,,65 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,365.6,13.3,-0.5,0.0,0.0,0.0
,,,,66 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,367.0,14.7,-0.1,0.0,0.0,0.0
,,,,67 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,364.1,12.0,0.0,0.0,0.0,0.0
,,,,68 (Final) Cb2.1-1.4D+1.6I+1.6S,378.6,13.3,-0.1,0.0,0.0,0.0
,,,,69 (Final) Cb2.2-1.4D+1.6I+1.6S+NHFDir1+,378.6,13.3,0.4,0.0,0.0,0.0
,,,,70 (Final) Cb2.3-1.4D+1.6I+1.6S+NHFDir1-,378.6,13.3,-0.5,0.0,0.0,0.0
,,,,71 (Final) Cb2.4-1.4D+1.6I+1.6S+NHFDir2+,380.1,14.7,-0.1,0.0,0.0,0.0
,,,,72 (Final) Cb2.5-1.4D+1.6I+1.6S+NHFDir2-,377.1,11.9,0.0,0.0,0.0,0.0
,,,,73 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,292.5,11.7,1.7,0.0,0.0,0.0
,,,,74 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,292.5,11.7,1.7,0.0,0.0,0.0
,,,,75 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,292.5,13.4,2.5,0.0,0.0,0.0
,,,,76 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,292.5,13.4,2.5,0.0,0.0,0.0
,,,,77 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,300.5,19.5,0.8,0.0,0.0,0.0
,,,,78 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,300.5,19.5,0.8,0.0,0.0,0.0
,,,,79 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,300.6,21.7,1.8,0.0,0.0,0.0
,,,,80 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,300.6,21.7,1.8,0.0,0.0,0.0
,,,,81 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,292.6,14.5,-3.8,0.0,0.0,0.0
,,,,82 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,292.6,14.5,-3.8,0.0,0.0,0.0
,,,,83 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,292.6,16.7,-2.9,0.0,0.0,0.0
,,,,84 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,292.6,16.7,-2.9,0.0,0.0,0.0
,,,,85 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,287.1,3.3,1.3,0.0,0.0,0.0
,,,,86 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,287.1,3.3,1.3,0.0,0.0,0.0
,,,,87 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,287.2,4.6,1.9,0.0,0.0,0.0
,,,,88 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,287.2,4.6,1.9,0.0,0.0,0.0
,,,,89 (Final) Cb4.1-1.2D+1.2I+1.2S+1.2W,302.2,11.7,1.8,0.0,0.0,0.0
,,,,90 (Final) Cb4.2-1.2D+1.2I+1.2S+1.2W,302.2,11.7,1.8,0.0,0.0,0.0
,,,,91 (Final) Cb4.3-1.2D+1.2I+1.2S+1.2W,302.3,13.4,2.5,0.0,0.0,0.0
,,,,92 (Final) Cb4.4-1.2D+1.2I+1.2S+1.2W,302.3,13.4,2.5,0.0,0.0,0.0
,,,,93 (Final) Cb4.5-1.2D+1.2I+1.2S+1.2W,310.3,19.5,0.8,0.0,0.0,0.0
,,,,94 (Final) Cb4.6-1.2D+1.2I+1.2S+1.2W,310.3,19.5,0.8,0.0,0.0,0.0
,,,,95 (Final) Cb4.7-1.2D+1.2I+1.2S+1.2W,310.3,21.7,1.8,0.0,0.0,0.0
